,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed_per_thousand,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
tests_per_case,-0.10151866472808072,-0.11562986459463848,-0.0998224102309217,-0.10667638543337365,-0.13142122437038883,-0.3300262942999446,-0.29466381981889694,0.01765732460179102,0.008500513930913485,0.05401041170520432,1.0,0.007123291328821657,-0.004432887627533793,-0.020764930594019418,0.0021516407222701814,-0.13416759194030822,-0.045530855611033406,0.1768949741787185,0.10215390271983232,0.12958164426876367,-0.08571171107153493,-0.11937536897024725,0.026755853384152116,0.002862491324444065,-0.06339074795966018,0.09916875357963088,-0.0014006224727878735,0.13533693337943856,0.133324388227415,-0.1393064356132875
total_vaccinations_per_hundred,0.19893822719960344,0.27959501735231074,-0.08923756409388656,-0.02193746942869185,0.06688764552512008,-0.008256654425170427,-0.05572890104582503,0.4157890985984529,0.13321906327009914,0.23779484900889872,0.007123291328821657,1.0,0.9801407087942619,0.873349148338736,0.8735639148737708,0.18537379216749633,-0.10443521881264248,0.19007682669952275,-0.20336394611711672,0.1345200371777026,-0.12975915804590463,-0.06506497848457249,0.17636613388273809,-0.1668478527834164,0.04914431385402985,0.3052538612600031,-0.14029458126622127,0.09297150055788513,0.12249413332891589,0.10808290926730832
people_vaccinated_per_hundred,0.2465055752008291,0.3041206268672145,-0.04762289176533802,0.0056213470903058605,0.07446127344613634,-0.032565814577713674,-0.0651596095873243,0.3109100669102975,0.09653510886746561,0.18334509300258112,-0.004432887627533793,0.9801407087942619,1.0,0.7663000037015215,0.8935061512271653,0.23148644813818176,-0.11606245942526572,0.3625626427021153,-0.19893554236319264,0.04821741322905963,-0.14185162762418574,-0.1558720142658791,0.07290672339840458,-0.11049209099944203,0.02857849800929236,0.32943756135132046,-0.09958306953623756,0.0971681087675785,0.11348351836859714,0.1503146403584986
people_fully_vaccinated_per_hundred,0.2419859754685501,0.2753317669621625,-0.058777257995648216,0.01693219991807238,-0.014580708607515988,-0.016505529341988658,-0.07599272076805327,0.2099221648362335,0.022704633012098352,0.059682278775340436,-0.020764930594019418,0.873349148338736,0.7663000037015215,1.0,0.8014632853354731,0.19722127593055114,-0.06512782609787322,0.09240423484869789,-0.27823425351966713,-0.013867424761673524,-0.08892654030247012,-0.14112128119443065,0.010121421282474759,-0.11510680998486578,0.0318923966575666,0.1975942243098676,-0.125547150379038,0.14217219503922687,0.0913599663405253,-0.01460658994766358
new_vaccinations_smoothed_per_million,0.14611074154136472,0.27496089561222453,-0.09906362616009148,-0.004162527439815343,0.11871541641895751,-0.0043957743757611165,-0.04972545217613927,0.3681410619359047,0.14569692874080564,0.25013203003360907,0.0021516407222701814,0.8735639148737708,0.8935061512271653,0.8014632853354731,1.0,0.1342047927732701,-0.1078727333169743,0.19264751448025105,-0.12606702079186546,0.07088024894078186,-0.11781182498201677,-0.07842396568260172,0.13222921713381916,-0.09403793335677803,0.048359047995712376,0.24322641040183976,0.005650923167994011,0.11741378914292251,0.09957324967056498,0.018969299195071586
stringency_index,0.12046984992689616,0.13604120485663174,0.09845698888412854,0.19686412743031143,0.14045334759443268,0.4602973916713627,0.37857141803308375,-0.04325070864150593,-0.01025434280166219,-0.0031240966160599576,-0.13416759194030822,0.18537379216749633,0.23148644813818176,0.19722127593055114,0.1342047927732701,1.0,0.05872740121593259,0.00376597870810603,-0.04429100706375468,-0.03429463899684443,-0.14873794416660727,0.0004353443127916717,0.07006225851743786,-0.08254863788847583,-0.04362542218145264,0.24014608181332872,-0.08171504387666369,0.028557755480303974,0.027535274932037446,0.32174462880671395
population,-0.029912007882134866,-0.02998264130889786,-0.02356994120429405,-0.018685501926540178,0.04990505656206417,0.19410867707770818,0.09904885539737436,-0.07817298174448306,-0.061610864425958096,-0.08111190035261155,-0.045530855611033406,-0.10443521881264248,-0.11606245942526572,-0.06512782609787322,-0.1078727333169743,0.05872740121593259,1.0,-0.01813490047732245,-0.0023278045455787633,-0.027144399488657676,-0.014814613245134771,-0.01439188316729752,0.020651602605573208,-0.0564261072122016,0.0036605064046561836,0.04373342240668188,-0.03016589002422986,-0.015430923497544144,-0.006044594143785261,0.09829687081514003
population_density,0.01637981580739565,0.01370043443578126,-0.044751268222929415,-0.029465334918220263,-0.004709721696501562,0.1176512482087223,0.010438826637819112,0.14690484147001473,0.09630399813021809,0.13628777069024545,0.1768949741787185,0.19007682669952275,0.3625626427021153,0.09240423484869789,0.19264751448025105,0.00376597870810603,-0.01813490047732245,1.0,0.18687274211442267,0.3149615334496064,-0.03203876121585564,-0.1755619920034983,0.02232153405463922,-0.06496070576061747,0.004995528063702102,0.09000753491989767,0.3178539053810583,0.2259990072587894,0.18513781983421376,-0.04765059407363901
median_age,0.28580416670364384,0.31128838076794985,0.28988302240171016,0.29707155077146685,0.1410372606019085,0.11639814469772941,0.18474193143933085,0.23979852842011573,0.20499788249275538,0.2769942528683721,0.10215390271983232,-0.20336394611711672,-0.19893554236319264,-0.27823425351966713,-0.12606702079186546,-0.04429100706375468,-0.0023278045455787633,0.18687274211442267,1.0,0.6505676568303655,-0.695989522202722,-0.35507161754012206,0.16370344780488483,0.6855173420610158,0.17362463122666555,0.791493677357446,0.6600967582215382,0.8568715498110304,0.9050562674934653,-0.26820415718272694
gdp_per_capita,0.3144203226896053,0.2441283427780111,0.19401213793372526,0.1434749281524441,0.04764707212438867,0.010912376654692472,-0.17205125784182124,0.45426083306551773,0.32703086979272983,0.43071685233800067,0.12958164426876367,0.1345200371777026,0.04821741322905963,-0.013867424761673524,0.07088024894078186,-0.03429463899684443,-0.027144399488657676,0.3149615334496064,0.6505676568303655,1.0,-0.5108017728568294,-0.4849173903732257,0.2061991627944801,0.34369386370854604,-0.09422850819053191,0.6656189141681431,0.2977351859857559,0.6842222042198373,0.756741923991561,-0.2035145439837641
extreme_poverty,-0.26612779702010214,-0.2529421924210272,-0.2722469672108087,-0.2501387903104548,-0.15083251493333397,0.16136593056194112,0.2654749856517078,-0.21026877516627315,-0.15348869744149055,-0.20818834465999467,-0.08571171107153493,-0.12975915804590463,-0.14185162762418574,-0.08892654030247012,-0.11781182498201677,-0.14873794416660727,-0.014814613245134771,-0.03203876121585564,-0.695989522202722,-0.5108017728568294,1.0,0.20324784231568405,-0.42279311839368144,-0.42675027436961316,-0.18289517711169156,-0.7543162566166111,-0.4423443562491905,-0.7546106282075197,-0.7827333176048934,0.2673565409014148
cardiovasc_death_rate,-0.1731445706121922,-0.13361044593831872,-0.24574651578081214,-0.14369470362938394,-0.07214253713971437,-0.007398284140593543,0.19125533121917987,-0.1465523125258979,-0.11115657005939178,-0.15880652972944312,-0.11937536897024725,-0.06506497848457249,-0.1558720142658791,-0.14112128119443065,-0.07842396568260172,0.0004353443127916717,-0.01439188316729752,-0.1755619920034983,-0.35507161754012206,-0.4849173903732257,0.20324784231568405,1.0,0.07737142400327601,-0.17341106315146926,0.47380505720039745,-0.027560279541539164,-0.02250030404329267,-0.5092245782421079,-0.4586931411738556,-0.03348988565571491
diabetes_prevalence,0.05871029968888913,0.01417030239006094,-0.045680170367517245,-0.03536141372917489,-0.04561760424354459,0.08599365439958623,-0.011324421871295964,0.12199284892892054,0.0602960737983906,0.09822371580675292,0.026755853384152116,0.17636613388273809,0.07290672339840458,0.010121421282474759,0.13222921713381916,0.07006225851743786,0.020651602605573208,0.02232153405463922,0.16370344780488483,0.2061991627944801,-0.42279311839368144,0.07737142400327601,1.0,-0.06909308202715135,0.17725784584896856,0.54650326539736,-0.08635278865185184,0.24770104794248726,0.23402161252463302,0.07516994084084509
female_smokers,0.25703105447572133,0.32128276666183675,0.29427016555537505,0.31080022683168534,0.1128989872884678,0.1963406431885305,0.2174790325377359,0.1856128899941473,0.1783124323909367,0.22372768442631324,0.002862491324444065,-0.1668478527834164,-0.11049209099944203,-0.11510680998486578,-0.09403793335677803,-0.08254863788847583,-0.0564261072122016,-0.06496070576061747,0.6855173420610158,0.34369386370854604,-0.42675027436961316,-0.17341106315146926,-0.06909308202715135,1.0,0.18433486538593769,0.2821282446520893,0.4865749175078846,0.5364838921071303,0.586297418968586,-0.17484185934231047
male_smokers,0.02470656610220187,0.05014826463976831,-0.0173853224975225,0.02368160055069272,-0.00423188579877352,0.034814583092149826,0.15000821243180903,0.029636794657051203,0.041876036629497244,0.04847773231180802,-0.06339074795966018,0.04914431385402985,0.02857849800929236,0.0318923966575666,0.048359047995712376,-0.04362542218145264,0.0036605064046561836,0.004995528063702102,0.17362463122666555,-0.09422850819053191,-0.18289517711169156,0.47380505720039745,0.17725784584896856,0.18433486538593769,1.0,0.3127532462373162,0.3360493425924824,0.061987148846430806,0.09620384161979831,-0.09159148236875826
handwashing_facilities,0.3566971159379426,0.32674215706583165,0.33413785858542416,0.27316154834832235,0.10595709260522905,,,0.3515954971500791,0.29660142487658964,0.34114645622655787,0.09916875357963088,0.3052538612600031,0.32943756135132046,0.1975942243098676,0.24322641040183976,0.24014608181332872,0.04373342240668188,0.09000753491989767,0.791493677357446,0.6656189141681431,-0.7543162566166111,-0.027560279541539164,0.54650326539736,0.2821282446520893,0.3127532462373162,1.0,0.44354133333859985,0.8238208944495087,0.8480971002955072,-0.0493590111615873
hospital_beds_per_thousand,0.11643798930119911,0.15664862919862108,0.08580050475726209,0.13012011829142323,0.06855187833599685,0.1643346568331802,0.24126655831639798,0.05196468016945376,0.06697344106161433,0.08392383446292039,-0.0014006224727878735,-0.14029458126622127,-0.09958306953623756,-0.125547150379038,0.005650923167994011,-0.08171504387666369,-0.03016589002422986,0.3178539053810583,0.6600967582215382,0.2977351859857559,-0.4423443562491905,-0.02250030404329267,-0.08635278865185184,0.4865749175078846,0.3360493425924824,0.44354133333859985,1.0,0.4775698517065986,0.5591572355496187,-0.1704735358896223
life_expectancy,0.31405435789851577,0.2951886081674534,0.3232660080724844,0.2535097970357424,0.1356487071874967,-0.0024738955160750796,-0.17830158768818555,0.30017574217188203,0.23594734053593933,0.31977126230212277,0.13533693337943856,0.09297150055788513,0.0971681087675785,0.14217219503922687,0.11741378914292251,0.028557755480303974,-0.015430923497544144,0.2259990072587894,0.8568715498110304,0.6842222042198373,-0.7546106282075197,-0.5092245782421079,0.24770104794248726,0.5364838921071303,0.061987148846430806,0.8238208944495087,0.4775698517065986,1.0,0.9201382766014579,-0.18074133529500663
human_development_index,0.3179163841367049,0.3135326429374071,0.3115072792215596,0.2747263770260545,0.15038437178905345,0.017593171184760868,-0.2539507793219009,0.3462352667360144,0.27470314085044323,0.36071914281395273,0.133324388227415,0.12249413332891589,0.11348351836859714,0.0913599663405253,0.09957324967056498,0.027535274932037446,-0.006044594143785261,0.18513781983421376,0.9050562674934653,0.756741923991561,-0.7827333176048934,-0.4586931411738556,0.23402161252463302,0.586297418968586,0.09620384161979831,0.8480971002955072,0.5591572355496187,0.9201382766014579,1.0,-0.2622242348446193
excess_mortality,0.289335112882513,0.3617336191077454,0.385860783183425,0.6448574124588565,-0.04871322877081737,0.7941962191222327,0.7787668660848818,0.008046831360066854,0.012366212059333696,0.01718544020728896,-0.1393064356132875,0.10808290926730832,0.1503146403584986,-0.01460658994766358,0.018969299195071586,0.32174462880671395,0.09829687081514003,-0.04765059407363901,-0.26820415718272694,-0.2035145439837641,0.2673565409014148,-0.03348988565571491,0.07516994084084509,-0.17484185934231047,-0.09159148236875826,-0.0493590111615873,-0.1704735358896223,-0.18074133529500663,-0.2622242348446193,1.0
